ID,Institution,Deg_Prog,Semester,Age,Gender,Mother_Tong,No_of_Lang,Spk_prof_Urdu,Spk_prof_Eng,Spk_prof_Pash,Spk_prof_Balo,Spk_prof_Brah,Spk_prof_Sind,Spk_prof_Sara,Spk_prof_Pers,Spk_prof_Punj,Spk_prof_Hind,Spk_prof_Other,NameOtherLang,Lang_Aca_Ex,Sp_Slf_As,Rd_Slf_As,Wr_Slf_As,Lis_Slf_As,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10,Item11,Item12,Item13,Item14,Item15,Item16,Item17,Item18,Item19,Item20,Item21,Item22,Item23,Item24,Item25,Item26,Item27,Item28,Item29,Item30,Item31,Item32,Item33,Item34,Item35,item36,Item37,Item38,Item39,Item40,Item41,Item42,Item43,Item44,Item45,Item46,Item47,Item48,Item49,Item50,Item51,Item52,Item53,Item54
033,3,5,5,21,2,4,2,1,1,0,0,0,0,0,0,0,0,0, ,1,2,2,1,3,1,2,7,6,6,4,6,6,6,7,2,4,7,6,6,6,6,4,7,7,7,6,6,6,7,6,6,7,6,7,6,6,7,2,7,2,7,6,7,7,7,6,7,6,6,4,7,6,6,6,6,6,6,6
034,3,5,5,20,2,6,3,1,1,0,0,0,0,0,1,0,0,0, ,1,1,2,2,2,5,7,7,7,6,2,7,7,7,4,2,6,7,5,6,7,6,7,6,6,6,7,7,7,6,4,5,5,6,6,7,7,7,2,6,4,6,3,3,2,6,5,6,6,5,6,6,7,6,3,6,5,7,6
035,3,5,5,21,2,1,3,1,1,1,0,0,0,0,0,0,0,0, ,1,3,2,2,1,3,6,6,6,3,3,5,7,5,1,5,4,7,3,3,6,4,7,7,5,6,7,7,7,7,5,3,6,7,5,5,7,7,5,7,3,4,6,4,1,7,1,5,6,4,5,7,7,7,4,1,7,7,4
036,3,5,1,20,2,6,3,1,1,0,0,0,0,0,1,0,0,0, ,1,2,2,2,2,1,5,6,6,5,4,5,2,5,6,2,4,6,6,6,6,5,6,6,6,6,6,6,5,7,5,6,5,7,5,7,6,7,3,6,5,6,5,4,2,6,7,7,7,5,6,6,6,2,2,6,6,6,6
037,3,5,1,19,2,6,4,1,1,1,0,0,0,0,1,0,0,0, ,1,2,1,2,2,1,5,6,5,5,4,5,2,6,6,2,4,6,6,6,6,5,6,6,6,6,6,6,5,7,5,6,5,7,5,7,6,7,3,6,5,6,5,4,2,6,7,7,7,5,6,6,7,2,2,6,6,7,6
038,3,9,1,19,2,3,5,1,1,0,1,1,1,0,0,0,0,0, ,0,2,999,999,999,6,7,7,5,5,3,7,6,7,1,6,6,7,1,7,6,2,7,7,6,4,7,7,4,6,6,2,7,6,7,6,5,3,6,6,3,7,6,4,2,6,7,3,7,6,7,7,6,7,6,5,7,6,6
039,3,10,1,19,2,3,5,1,1,0,1,1,1,0,0,0,0,0, ,1,2,1,2,1,6,7,7,5,5,3,7,6,7,1,6,5,7,2,7,6,6,7,7,6,4,7,7,4,6,6,2,7,6,7,6,5,3,6,6,3,7,6,2,2,6,6,5,5,5,4,6,6,5,6,4,6,6,7
040,3,10,1,19,2,1,3,1,1,1,0,0,0,0,0,0,0,0, ,1,1,1,1,1,6,6,6,7,7,2,4,6,6,4,2,5,4,2,6,2,6,6,6,999,7,7,4,6,6,6,7,6,7,7,7,7,7,6,6,1,6,7,1,6,7,6,6,6,2,2,6,6,6,6,4,7,6,6
041,3,10,1,20,2,1,999,0,0,1,0,0,0,0,0,0,0,0, ,1,1,1,1,1,6,5,7,6,6,1,6,6,6,2,6,6,6,2,6,2,6,1,7,6,4,6,6,2,6,6,2,6,6,7,7,7,6,6,7,1,7,6,6,1,6,1,7,7,7,6,1,6,6,7,1,7,7,1
042,3,999,1,20,2,4,999,1,0,1,0,0,0,0,0,0,0,0, ,1,999,999,999,999,1,6,6,2,6,2,5,1,7,2,2,7,6,2,7,4,6,6,7,4,7,6,6,6,2,6,2,7,7,6,6,7,6,4,7,7,7,6,2,2,6,7,6,6,7,6,2,1,6,7,7,6,6,7
